GAME_ID,PERIOD,HOME_STARTERS,AWAY_STARTERS
22400029,2,"201572, 203081, 1626171, 1629018, 1631260","204456, 1627783, 1631097, 1642277, 1642402"
22400029,3,"201572, 203081, 203507, 1627752, 1641748","1626167, 1627783, 1630169, 1631097, 1631245"
22400029,4,"201572, 203081, 1626171, 1629018, 1631260","204456, 1626167, 1631097, 1641716, 1642277"
22400030,1,"202696, 203897, 1629632, 1630245, 1630581","203991, 1629027, 1630552, 1630700, 1642258"
22400030,2,"1629632, 1630188, 1630245, 1631207, 1641824","203992, 1630168, 1630552, 1641723, 1642258"
22400030,3,"202696, 203897, 1629632, 1630245, 1630581","203991, 1629027, 1630552, 1630700, 1642258"
22400030,4,"1629632, 1630188, 1630245, 1631207, 1641824","203992, 1629027, 1630168, 1630249, 1630552"
22400031,1,"1627832, 1628415, 1630224, 1630578, 1631095","203924, 1629014, 1631101, 1641739, 1642270"
22400031,2,"203500, 1630224, 1631106, 1641708, 1642263","1629014, 1629057, 1630166, 1631200"
22400031,3,"1627832, 1628415, 1630224, 1630578, 1631095","203924, 1629014, 1631101, 1641739, 1642270"
22400031,4,"203500, 1630224, 1631106, 1641708, 1642263","1631133, 1631200, 1631386, 1641712, 1642270"
22400032,1,"203901, 1627742, 1628464, 1629750, 1630530","201939, 203110, 203952, 1630322, 1631218"
22400032,2,"203901, 1630527, 1630530, 1641722, 1641998","203937, 1627741, 1630228, 1630541, 1641764"
22400032,3,"203901, 1627742, 1628464, 1629750, 1630530","201939, 203110, 203952, 1630322, 1631218"
22400032,4,"203901, 1628464, 1630530, 1641722, 1641810, 1641998","1626172, 1627741, 1630228, 1630541, 1641764"
22400033,1,"203999, 1627750, 1629008, 1631128, 1631212","202681, 202691, 1629023, 1629656, 1641726"
22400033,2,"201566, 203967, 1629008, 1631124, 1631128","202691, 203915, 1629023, 1629655, 1630702"
22400033,3,"203999, 1627750, 1629008, 1631128, 1631212","202681, 202691, 1629023, 1629655, 1629656"
22400033,4,"201566, 201599, 1627750, 1631124, 1631212","203915, 1629023, 1630230, 1630702, 1641726"
22400034,1,"201935, 1627739, 1627826, 1627884, 1629599","201942, 1627734, 1628368, 1628989, 1631099"
22400034,2,"201587, 1628964, 1629611, 1629645, 1641757","1626168, 1628368, 1628989, 1629162, 1631099"
22400034,3,"201935, 1627739, 1627826, 1627884, 1629599","201942, 1627734, 1628368, 1628989, 1631099"
22400034,4,"201587, 1628964, 1629611, 1629645, 1641757","1628368, 1628989, 1631099, 1631165, 1641732"
22400035,1,"1627763, 1628398, 1641731, 1642259, 1642273","202696, 203897, 1629632, 1630245, 1630581"
22400035,2,"1627763, 1630264, 1630557, 1642259, 1642267","1629632, 1629659, 1630188, 1630581, 1641763"
22400035,3,"1627763, 1628398, 1641731, 1642259, 1642273","202696, 203897, 1629632, 1630245, 1630581"
22400035,4,"1627763, 1630557, 1641731, 1642259, 1642267","1629632, 1629659, 1630188, 1630245, 1641763"
22400036,1,"202710, 1628389, 1629130, 1629312, 1629639","201572, 203081, 1627752, 1631260, 1641748"
22400036,2,"202692, 1626179, 1628389, 1629130, 1631170","1626153, 1626171, 1626192, 1629018, 1630699"
22400036,3,"202710, 1628389, 1629130, 1629312, 1629639","201572, 203081, 1627752, 1631260, 1641748"
22400036,4,"202692, 1626179, 1629639, 1631170, 1642276","1626153, 1626171, 1626192, 1627752, 1629018"
22400037,1,"203497, 203944, 1628978, 1630162, 1630183","1627832, 1628415, 1630224, 1630578, 1631095"
22400037,2,"203497, 1628978, 1629638, 1629675, 1642265","1629111, 1630224, 1631106, 1641708, 1642263"
22400037,3,"203497, 203944, 1628978, 1630162, 1630183","1627832, 1628415, 1630224, 1630578, 1631095"
22400037,4,"203497, 1629638, 1629675, 1630183, 1642265","1627832, 1629111, 1631106, 1641708, 1642263"
22400037,5,"203497, 203944, 1629638, 1630162, 1630183","1627832, 1628415, 1630578, 1631095, 1641708"
22400038,1,"1628374, 1628381, 1629012, 1631117, 1641718","101108, 203084, 1630577, 1641705, 1642264"
22400038,2,"1628374, 1629012, 1630548, 1631117, 1641729","101108, 1630572, 1630577, 1631104, 1641705"
22400038,3,"1628374, 1628381, 1629012, 1631117, 1641718","101108, 203084, 1630577, 1641705, 1642264"
22400038,4,"1628374, 1629012, 1630548, 1631117, 1641729","101108, 1630572, 1630577, 1631104, 1641705"
22400039,1,"201142, 203078, 203994, 1626145, 1626164","2544, 203076, 1629060, 1629629, 1630559"
22400039,2,"201142, 203078, 1628960, 1642345, 1642346","2544, 1626156, 1629637, 1631108, 1642261"
22400039,3,"201142, 203078, 203994, 1626145, 1626164","2544, 203076, 1629060, 1629629, 1630559"
22400039,4,"203078, 1626145, 1626220, 1628960, 1642345","2544, 1626156, 1629216, 1629637, 1642261"
22400040,1,"203995, 1630182, 1631217, 1641706, 1642275","1626157, 1628384, 1628404, 1628969, 1628973"
22400040,2,"201959, 203552, 203995, 1628998, 1641733","1626157, 1626166, 1628404, 1628969, 1630540"
22400040,3,"203995, 1630182, 1631217, 1641706, 1642275","1626157, 1628384, 1628404, 1628969, 1628973"
22400040,4,"201959, 203552, 1628998, 1641733, 1642354","1626157, 1626166, 1628404, 1628969, 1630540, 1630579"
22400041,1,"203991, 1629027, 1630552, 1630700, 1642258","1628378, 1628386, 1629636, 1630171, 1630596"
22400041,2,"203992, 1629631, 1630168, 1630552, 1641723","1627777, 1628378, 1629660, 1630241, 1630596"
22400041,3,"203991, 1629027, 1630552, 1630700, 1642258","1628378, 1628386, 1629636, 1630171, 1630596"
22400041,4,"203991, 203992, 1630552, 1641723, 1642258","1628378, 1629636, 1630241, 1630596, 1642281"
22400042,1,"1628991, 1629630, 1629634, 1630217, 1642377","203468, 1627749, 1629750, 1630530, 1642274"
22400042,2,"203935, 1628991, 1629634, 1630590, 1631222","203468, 203901, 1630526, 1630530, 1642274"
22400042,3,"1628991, 1629630, 1629634, 1630217, 1642377","203468, 1627749, 1629750, 1630530, 1642274"
22400042,4,"203935, 1628991, 1629630, 1629634, 1630590","203468, 203901, 1630527, 1630530, 1642274"
22400043,1,"1627732, 1629661, 1630533, 1630592, 1631213","203484, 1628976, 1629048, 1630532, 1630591"
22400043,2,"1627732, 1629003, 1629661, 1630553, 1630570","1628371, 1629021, 1630591, 1641710, 1641783"
22400043,3,"1627732, 1629661, 1630533, 1630592, 1631213","203484, 1628976, 1629048, 1630532, 1630591"
22400043,4,"1627732, 1629003, 1629661, 1630553, 1630570","1628371, 1629021, 1641710, 1641724, 1641783"
22400044,1,"201144, 203497, 203944, 1630162, 1630183","201935, 1627739, 1627826, 1627884, 1629599"
22400044,2,"201144, 203497, 1628978, 1629638, 1629675","201587, 1628964, 1629611, 1629645, 1641757"
22400044,3,"201144, 203497, 203944, 1630162, 1630183","201935, 1627739, 1627826, 1627884, 1629599"
22400044,4,"201144, 203497, 1628978, 1629638, 1629675","201587, 1628964, 1629611, 1629645, 1641757"
22400045,1,"1626167, 1627783, 1630169, 1631097, 1631245","202699, 203501, 1630595, 1631093, 1631105"
22400045,2,"204456, 1627783, 1630167, 1631097, 1641716","203501, 1630191, 1630595, 1631323, 1641842"
22400045,3,"1626167, 1627783, 1630169, 1631097, 1631245","202699, 203501, 1630595, 1631093, 1631105"
22400045,4,"204456, 1627783, 1630167, 1631097, 1641716","203501, 1630191, 1630595, 1631323, 1641842"
22400046,1,"202710, 1628389, 1629130, 1629312, 1629639","1627751, 1629628, 1630534, 1630567, 1642266"
22400046,2,"202692, 1626179, 1628389, 1631170, 1641796","1628449, 1630567, 1642266, 1642347, 1642367, 1642419"
22400046,3,"202710, 1628389, 1629130, 1629312, 1629639","1627751, 1629628, 1630534, 1630567, 1642266"
22400046,4,"1626179, 1628389, 1629130, 1631170, 1641796","1629628, 1630558, 1642266, 1642367, 1642419"
22400047,1,"202696, 203897, 1629632, 1630245, 1630581","201950, 204001, 1627759, 1628369, 1628401"
22400047,2,"1628470, 1629632, 1630188, 1630581, 1631207","201143, 201950, 1627759, 1628401, 1630573"
22400047,3,"202696, 203897, 1629632, 1630245, 1630581","201950, 204001, 1627759, 1628369, 1628401"
22400047,4,"1629632, 1629659, 1630188, 1630581, 1641763","201143, 1627759, 1629674, 1630202, 1630573"
22400048,1,"2544, 203076, 1629060, 1630559, 1642261","1628392, 1628983, 1629652, 1631114, 1641717"
22400048,2,"2544, 1626156, 1629060, 1629216, 1629629","1628983, 1629026, 1629652, 1630198, 1641794"
22400048,3,"2544, 203076, 1626156, 1629060, 1642261","1628392, 1628983, 1629652, 1631114, 1641717"
22400048,4,"2544, 1626156, 1629060, 1629216, 1629629","1628983, 1629026, 1629652, 1630598, 1642349"
22400049,1,"1629014, 1629028, 1630166, 1631101, 1641739","203109, 1627734, 1628368, 1631099, 1631165"
22400049,2,"1630625, 1631101, 1631133, 1631200, 1641871","203109, 1628368, 1628989, 1631099, 1631115, 1631165"
22400049,3,"1629014, 1629028, 1630166, 1631101, 1641739","203109, 1627734, 1628368, 1631099, 1631165"
22400049,4,"1629014, 1630625, 1631101, 1631133, 1631200","203109, 1628368, 1629162, 1631165, 1642403"
22400050,1,"203995, 1630182, 1630208, 1641706, 1642275","202331, 1626162, 1627824, 1630178, 1630231"
22400050,2,"203552, 203995, 1628998, 1630182, 1630208","202331, 1628997, 1641737, 1641741, 1642272"
22400050,3,"203995, 1630182, 1630208, 1641706, 1642275","202331, 1626162, 1627824, 1630178, 1630231"
22400050,4,"1628998, 1631217, 1641733, 1642275, 1642354","200768, 202331, 1627824, 1628997, 1642272"
22400051,1,"1628378, 1628386, 1629636, 1630171, 1630596","202685, 1627763, 1629673, 1641731, 1642259"
22400051,2,"1627747, 1627777, 1628378, 1629731, 1630596","1627763, 1630557, 1642259, 1642267, 1642273"
